Date,Close
2/1/2019,34000
2/4/2019,34000
2/5/2019,33000
2/6/2019,33000
2/7/2019,33000
2/8/2019,33000
2/11/2019,32000
2/12/2019,32000
2/13/2019,32000
2/14/2019,31000
2/15/2019,31000
2/18/2019,31000
2/19/2019,31000
2/20/2019,31000
2/21/2019,31000
2/22/2019,31000
2/25/2019,32000
2/26/2019,32000
2/27/2019,32000
2/28/2019,33000
3/1/2019,33000
3/4/2019,33000
3/5/2019,33000
3/6/2019,33000
3/7/2019,35000
3/8/2019,33000
3/11/2019,32000
3/12/2019,32000
3/13/2019,32000
3/14/2019,31000
3/15/2019,30000
3/18/2019,30000
3/19/2019,31000
3/20/2019,30000
3/21/2019,30000
3/22/2019,30000
3/25/2019,30000
3/26/2019,30000
3/27/2019,30000
3/28/2019,30000
3/29/2019,30000
4/1/2019,30000
4/2/2019,31500
4/3/2019,31500
4/4/2019,31500
4/5/2019,32000
4/8/2019,32000
4/9/2019,33000
4/10/2019,33000
4/11/2019,34500
4/12/2019,34500
4/15/2019,35000
4/16/2019,34500
4/17/2019,35000
4/18/2019,35000
4/23/2019,34500
4/24/2019,34500
4/25/2019,34500
4/26/2019,34500
4/29/2019,34500
4/30/2019,34500
5/1/2019,34500
5/2/2019,34500
5/3/2019,34500
5/7/2019,34500
5/8/2019,34500
5/9/2019,34500
5/10/2019,34500
5/13/2019,34500
5/14/2019,34500
5/15/2019,34500
5/16/2019,34500
5/17/2019,34500
5/20/2019,34500
5/21/2019,34500
5/22/2019,34250
5/23/2019,34250
5/24/2019,33500
5/28/2019,33500
5/29/2019,33500
5/30/2019,33500
5/31/2019,32000
6/3/2019,32000
6/4/2019,32000
6/5/2019,32000
6/6/2019,31000
6/7/2019,28000
6/10/2019,28000
6/11/2019,28000
6/12/2019,28000
6/13/2019,28000
6/14/2019,28000
6/17/2019,28000
6/18/2019,28000
6/19/2019,28000
6/20/2019,28000
6/21/2019,28000
6/24/2019,28000
6/25/2019,28000
6/26/2019,27860
6/27/2019,28720
6/28/2019,28600
7/1/2019,28600
7/2/2019,28600
7/3/2019,28600
7/4/2019,28600
7/5/2019,28600
7/8/2019,28600
7/9/2019,26647
7/10/2019,26650
7/11/2019,26650
7/12/2019,26650
7/15/2019,27584
7/16/2019,27583
7/17/2019,27583
7/18/2019,27592
7/19/2019,27596
7/22/2019,27583
7/23/2019,27583.5
7/24/2019,27584
7/25/2019,27593
7/26/2019,25597
7/29/2019,25584
7/30/2019,25584
7/31/2019,25584
8/1/2019,25593
8/2/2019,25597.5
8/5/2019,25584.5
8/6/2019,27800
8/7/2019,27800
8/8/2019,28013
8/9/2019,28019
8/12/2019,31008
8/13/2019,30010
8/14/2019,30012
8/15/2019,32124.5
8/16/2019,32130
8/19/2019,32117.5
8/20/2019,32119
8/21/2019,32120
8/22/2019,32139
8/23/2019,32145
8/27/2019,32124
8/28/2019,32119
8/29/2019,32143
8/30/2019,32150
9/2/2019,33500
9/3/2019,33500
9/4/2019,34500
9/5/2019,35013
9/6/2019,35014.5
9/9/2019,35005
9/10/2019,34960
9/11/2019,35961
9/12/2019,35975.5
9/13/2019,35977
9/16/2019,35968
9/17/2019,35968.5
9/18/2019,35969
9/19/2019,36481
9/20/2019,36481
9/23/2019,36971
9/24/2019,36971.5
9/25/2019,36977
9/26/2019,36978
9/27/2019,36484
9/30/2019,35474
10/1/2019,35464
10/2/2019,35470
10/3/2019,35481
10/4/2019,34000
10/7/2019,33983.5
10/8/2019,33984
10/9/2019,34734
10/10/2019,35500
10/11/2019,35500
10/14/2019,35483
10/15/2019,35484
10/16/2019,35486
10/17/2019,35500
10/18/2019,35506
10/21/2019,35495
10/22/2019,35497
10/23/2019,35499
10/24/2019,35512
10/25/2019,35500
10/28/2019,35488
10/29/2019,35489.5
10/30/2019,35491
10/31/2019,35504
11/1/2019,35510
11/4/2019,35498
11/5/2019,35500
11/6/2019,35502
11/7/2019,35521
11/8/2019,35521
11/11/2019,35510
11/12/2019,35512
11/13/2019,35514
11/14/2019,35527
11/15/2019,35532.5
11/18/2019,35520.5
11/19/2019,35522
11/20/2019,35522.5
11/21/2019,35535
11/22/2019,35541
11/25/2019,35526
11/26/2019,35533
11/27/2019,35528
11/28/2019,35541
11/29/2019,35297
12/2/2019,35287
12/3/2019,35288
12/4/2019,35288.5
12/5/2019,34300
12/6/2019,34301
12/9/2019,34290.25
12/10/2019,34290
12/11/2019,34290.5
12/12/2019,34302.5
12/13/2019,34302
12/16/2019,34292
12/17/2019,32292
12/18/2019,32292.5
12/19/2019,32304
12/20/2019,32304
12/23/2019,32304.5
12/24/2019,32315.5
12/27/2019,32305
12/30/2019,32300
12/31/2019,32300
1/2/2020,32305
1/3/2020,31806
1/6/2020,31795.5
1/7/2020,31545.5
1/8/2020,31295.5
1/9/2020,32557
1/10/2020,32312.5
1/13/2020,32291
1/14/2020,32296
1/15/2020,32295.5
1/16/2020,32310.5
1/17/2020,31806.5
1/20/2020,31798.5
1/21/2020,31799.5
1/22/2020,32050.5
1/23/2020,32060.5
1/24/2020,32061.5
1/27/2020,32053.5
1/28/2020,32554.5
1/29/2020,32555.5
1/30/2020,32565.5
1/31/2020,34570.5
2/3/2020,34553.5
2/4/2020,34058.5
2/5/2020,34063.5
2/6/2020,34072.5
2/7/2020,34073.5
2/10/2020,33810.5
2/11/2020,33815.5
2/12/2020,33315.5
2/13/2020,33327.5
2/14/2020,33322.5
2/17/2020,33308.5
2/18/2020,33313.5
2/19/2020,33315
2/20/2020,33326.5
2/21/2020,33327.5
2/24/2020,33306
2/25/2020,33311.5
2/26/2020,33066.5
2/27/2020,33077
2/28/2020,33076.5
3/2/2020,33055
3/3/2020,33055
3/4/2020,33055
3/5/2020,33065.5
3/6/2020,33071
3/9/2020,33054.5
3/10/2020,33054
3/11/2020,33054
3/12/2020,31665
3/13/2020,31671
3/16/2020,31655
3/17/2020,29555
3/18/2020,29555
3/19/2020,29566
3/20/2020,29571
3/23/2020,29555
3/24/2020,29555
3/25/2020,29555
3/26/2020,29565.5
3/27/2020,29571
3/30/2020,29555
3/31/2020,29560.5
4/1/2020,29560
4/2/2020,29570.5
4/3/2020,29570.5
4/6/2020,29560
4/7/2020,29560
4/8/2020,29582
4/9/2020,29582
4/14/2020,29559.5
4/15/2020,29558.5
4/16/2020,29567.5
4/17/2020,29567.5
4/20/2020,29559
4/21/2020,29559
4/22/2020,29559
4/23/2020,29568
4/24/2020,29568
4/27/2020,29559
4/28/2020,29559
4/29/2020,29559
4/30/2020,29572
5/1/2020,29568
5/4/2020,29555
5/5/2020,29555.5
5/6/2020,29568
5/7/2020,29568
5/11/2020,29555
5/12/2020,29555
5/13/2020,29555
5/14/2020,29564
5/15/2020,29568.5
5/18/2020,29555
5/19/2020,29557
5/20/2020,29557
5/21/2020,29573
5/22/2020,29579
5/26/2020,29558
5/27/2020,29557
5/28/2020,29568
5/29/2020,29573.25
6/1/2020,29557.5
6/2/2020,29557.5
6/3/2020,29557.5
6/4/2020,29568
6/5/2020,29573.25
6/8/2020,29557.5
6/9/2020,29557.5
6/10/2020,29558
6/11/2020,29568.25
6/12/2020,29000
6/15/2020,29000
6/16/2020,29000
6/17/2020,28750
6/18/2020,28850
6/19/2020,28850
6/22/2020,28837.5
6/23/2020,28834
6/24/2020,28500
6/25/2020,28497
6/26/2020,28497
6/29/2020,28484
6/30/2020,28481
7/1/2020,28478
7/2/2020,28475
7/3/2020,28475
7/6/2020,28462.5
7/7/2020,28459
7/8/2020,28456
7/9/2020,28453
7/10/2020,28453
7/13/2020,28440.5
7/14/2020,28437.5
7/15/2020,28434
7/16/2020,28431
7/17/2020,28431
